品类,小类,功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智能网关,智能网关,子设备列表,我有哪些网关子设备,列举网关子设备,查看网关子设备列表,我的网关子设备,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
环境净化,智能香薰机,显示喷香启停,喷香开着呢吗？,喷香是开是关呢,喷香状态,喷香启动了吗,喷香呢,有木有在喷香香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示定时开关时间,香薰机定时开关时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示香水浓度,香水浓度是多少,香水浓度,香水多浓,香水浓么,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示香水剩余,香水还剩多少,香水剩余多少,香水余量,香水剩余,香水剩多少,香水还有多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,香薰机开关,香薰机开,香薰机关,打开香薰机,开开香薰机,开香薰机,启动香薰机,开始喷香香,喷香香,喷香,关闭香熏机,停止喷香,关上香薰机,关香薰机,闭掉香薰机,停掉香薰机,不要喷香香了,不要喷香香了,别喷香了,停止熏香,闭空净,毙空净,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"调整香水浓度(1,10)","香水浓度调整为(1,10)","香水浓度设置为(1,10)","香水浓度设为(1,10)","香水浓度调为(1,10)","香水浓度调成(1,10)","香水浓度调整为(1,10)","香水浓度调到(1,10)","香水浓度增加到(1,10)","香水浓度减到(1,10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,授时,授时,时间校准,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,定时HH:MM开关,设置香薰机(HH:MM)开,设置香薰机(HH:MM)关,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,空气净化器,显示开关状态,空气净化器的开关状态,空气净化器开着呢么,空气净化器是开是关呢,空净关着呢么,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示当前PM2.5,当前PM2.5,当前PM2.5是多少,当前PM2.5值为多少,现在有雾霾吗,现在雾霾严重吗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示当前温度,当前温度,当前温度是多少,现在多少度,现在几度,现下是几度,现下多少度,现在有多少度,现在有几度,这会儿多少度,这会儿几度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示当前湿度,当前湿度,当前湿度是多少,当前湿度多大,现在湿度多大,现在湿度是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示空气质量等级,空气质量等级,空气质量等级是多少,空气质量怎么样,空气质量如何,空气如何,空气好么,空气坏吗,空气差吗,空气有多好,空气有多差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示滤网使用时间,显示滤网使用时间,滤网使用时间是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示甲醛浓度,甲醛浓度,甲醛浓度是多少,有甲醛吗,甲醛浓度是多少,甲醛多吗,甲醛浓度大吗,没甲醛吧,甲醛含量是多少,甲醛含量有多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示CO2浓度,CO2浓度,CO2浓度是多少,有CO2吗,CO2浓度是多少,CO2多吗,CO2浓度大吗,没CO2吧,CO2含量,CO2含量是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示室外PM2.5,室外PM2.5,室外PM2.5是多少,有室外PM2.5吗,室外PM2.5浓度是多少,室外PM2.5多吗,室外PM2.5浓度大吗,室外没PM2.5吧,室外PM2.5含量,室外PM2.5含量是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示PM1.0,PM1.0,PM1.0浓度是多少,有PM1.0吗,PM1.0浓度是多少,PM1.0多吗,PM1.0浓度大吗,没PM1.0吧,PM1.0含量,PM1.0含量是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示PM10,PM10,PM10浓度是多少,有PM10吗,PM10浓度是多少,PM10多吗,PM10浓度大吗,没PM10吧,PM10含量,PM10含量是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示当前电量(带电源设备),显示当前电量,当前电量是多少,现在还有电吗,现在还有多少电,现在电多吗,现在快没电了吧,剩余电量是多少,现在还剩多少电,现在没多少电了吧,现在没多少电了吧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示电源充电状态(带电源设备),显示电源充电状态,充着电呢么,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,空净开关,空净开,打开空净,开开空净,开空净,启动空净,开始净化空气,净化空气,开启空净,空净开,关闭空净,关空净,关上空净,停止空净,停止净化空气,不要净化空气了,别净化空气了,别净化空气了,闭掉空净,毙了空净,闭空净,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,调整空净风速档位(自动风速、睡眠模式、中风速、高风速),调整空净风速档位为自动风速,设置空净风速档位为自动风速,空净风速档位调整为自动风速,空净风速档位设置为自动风速,空净风速档位改为自动风速,空净风速档位变为自动风速,调整空净风速为自动风速,设置空净风速为自动风速,空净风速调整为自动风速,空净风速设置为自动风速,空净风速改为为自动风速,空净风速变为自动风速,空净开启自动风速档位,空净开启自动风速,空净送自动风,调整空净风速档位为睡眠模式,调整空净风速档位为睡眠模式,空净风速档位调整为睡眠模式,空净风速档位设置为睡眠模式,空净风速档位改为睡眠模式,空净风速档位变为睡眠模式,调整空净风速为睡眠模式,设置空净风速为睡眠模式,空净风速调整为睡眠模式,空净风速设置为睡眠模式,空净风速改为为睡眠模式,空净风速变为睡眠模式,空净开启自动睡眠模式,空净开启睡眠模式,空净送睡眠模式,调整空净风速档位为睡眠风,调整空净风速档位为睡眠风,空净风速档位调整为睡眠风,空净风速档位设置为睡眠风,空净风速档位改为睡眠风,空净风速档位变为睡眠风,调整空净风速为睡眠风,设置空净风速为睡眠风,空净风速调整为睡眠风,空净风速设置为睡眠风,空净风速改为为睡眠风,空净风速变为睡眠风,空净开启自动睡眠风,空净开启睡眠风,空净送睡眠风,调整空净风速档位为中风速,设置空净风速档位为中风速,空净风速档位调整为中风速,空净风速档位设置为中风速,空净风速档位改为中风速,空净风速档位变为中风速,调整空净风速为中风速,设置空净风速为中风速,空净风速调整为中风速,空净风速设置为中风速,空净风速改为中风速,空净风速变为中风速,空净开启中风速档位,空净开启中风速,空净送中风,调整空净风速档位为高风速,设置空净风速档位为高风速,空净风速档位调整为高风速,空净风速档位设置为高风速,空净风速档位改为高风速,空净风速档位变为高风速,调整空净风速为高风速,设置空净风速为高风速,空净风速调整为高风速,空净风速设置为高风速,空净风速改为高风速,空净风速变为高风速,空净开启高风速档位,空净开启高风速,空净送高风
,,负离子开关,负离子开,开负离子,启动负离子,开启负离子,开负离子,开开负离子,负离子启动,启用负离子,负离子关,关负离子,停止负离子,关闭负离子,关上负离子,闭掉负离子,负离子停止,毙掉负离子,不要负离子了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,静电开关,静电开,开静电,启动静电,开启静电,开静电,开开静电,静电启动,启用静电,静电关,关静电,停止静电,关闭静电,关上静电,闭掉静电,静电停止,毙掉静电,不要静电了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,新风阀门开关(夺盛3830才有),新风阀门开,开新风阀门,启动新风阀门,开启新风阀门,开新风阀门,开开新风阀门,新风阀门启动,打开新风阀门,新风阀门关,关新风阀门,停止新风,关闭新风阀门,关上新风阀门,闭掉新风阀门,新风阀门关闭,毙掉新风阀门,不要送新风了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,除味开关,打开除味开关,开除味开关,启动除味开关,开启除味开关,开除味开关,开开除味开关,除味开关启动,打开除味,除味开关关,关除味开关,停止除味,关闭除味开关,关上除味开关,闭掉除味开关,除味开关关闭,毙掉除味开关,不要除味了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UV开关,打开UV开关,开UV开关,启动UV开关,开启UV开关,开UV开关,开开UV开关,UV开关启动,打开UV开关,UV开关关,关UV开关,停止UV,关闭UV开关,关上UV开关,闭掉UV开关,新风UV开关关闭,毙掉UV开关,不要UV了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,加热开关,打开加热开关,开加热开关,启动加热开关,开启加热开关,开加热开关,开开加热开关,加热开关启动,启用加热开关,加热开关关,关加热开关,停止加热,关闭加热开关,关上加热开关,闭掉加热开关,加热开关关闭,毙掉加热开关,不要加热了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,童锁开关,打开童锁开关,开童锁开关,启动童锁开关,开启童锁开关,开童锁开关,开开童锁开关,童锁开关启动,启用童锁开关,童锁开关关,关童锁开关,禁用童锁,关闭童锁开关,关上童锁开关,闭掉童锁开关,童锁开关关闭,毙掉童锁开关,解除童锁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,加湿开关,打开加湿开关,开加湿开关,启动加湿开关,开启加湿开关,开加湿开关,开开加湿开关,加湿开关启动,启用加湿开关,加湿开关关,关加湿开关,停止加湿,关闭加湿开关,关上加湿开关,闭掉加湿开关,加湿开关关闭,毙掉加湿开关,不要加湿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,光感开关,打开光感开关,开光感开关,启动光感开关,开启光感开关,开光感开关,开开光感开关,光感开关启动,启用光感开关,光感开关关,关光感开关,停止光感,关闭光感开关,关上光感开关,闭掉光感开关,光感开关关闭,毙掉光感开关,不要光感,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,排风开关,打开排风开关,开排风开关,启动排风开关,开启排风开关,开排风开关,开开排风开关,排风开关启动,启用排风开关,排风开关关,关排风开关,停止排风开关,关闭排风开关,关上排风开关,闭掉排风开关,排风开关关闭,毙掉排风开关,不要排风,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,预约,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,告警,空调有告警吗,空调告警消息,空调告警信息,播放空调告警,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新风系统,显示开关状态,新风系统的开关状态,新风系统开着呢么,新风系统是开是关呢,新风系统关着呢么,新风的开关状态,新风开着呢么,新风是开是关呢,新风关着呢么,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示室内温度,当前室内温度,当前室内温度是多少,现在室内多少度,现在室内几度,现下室内是几度,现下室内多少度,现在室内有多少度,现在室内有几度,这会儿室内多少度,这会儿室内几度,当前屋里温度,当前屋里温度是多少,现在屋里多少度,现在屋里几度,现下屋里是几度,现下屋里多少度,现在屋里有多少度,现在屋里有几度,这会儿屋里多少度,这会儿屋里几度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示当前湿度,显示当前湿度,当前湿度是多少,当前湿度多大,现在湿度多大,现在湿度是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示VOC值,VOC值,VOC状态,当前VOC值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示CO2,CO2浓度,CO2浓度是多少,有CO2吗,CO2浓度是多少,CO2多吗,CO2浓度大吗,没CO2吧,CO2含量,CO2含量是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示PM2.5,室外PM2.5,室外PM2.5是多少,有室外PM2.5吗,室外PM2.5浓度是多少,室外PM2.5多吗,室外PM2.5浓度大吗,室外没PM2.5吧,室外PM2.5含量,室外PM2.5含量是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示滤网使用时间,滤网使用时间是,滤网使用时间是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示室外温度,当前室外温度,当前室外温度是多少,现在室外多少度,现在室外几度,现下室外是几度,现下室外多少度,现在室外有多少度,现在室外有几度,这会儿室外多少度,这会儿室外几度,当前外面温度,当前外面温度是多少,现在外面多少度,现在外面几度,现下外面是几度,现下外面多少度,现在外面有多少度,现在外面有几度,这会儿外面多少度,这会儿外面几度,当前外边温度,当前外边温度是多少,现在外边多少度,现在外边几度,现下外边是几度,现下外边多少度,现在外边有多少度,现在外边有几度,这会儿外边多少度,这会儿外边几度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示甲醛,甲醛浓度,甲醛浓度是多少,有甲醛吗,甲醛浓度是多少,甲醛多吗,甲醛浓度大吗,没甲醛吧,甲醛含量是多少,甲醛含量有多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示空气质量等级,空气质量等级,空气质量等级是多少,空气质量怎么样,空气质量如何,空气如何,空气好么,空气坏吗,空气差吗,空气有多好,空气有多差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,开关,新风系统开,打开新风系统,开开新风系统,开新风系统,启动新风系统,开始净化空气,净化空气,开启空净,新风系统开,关闭新风系统,关新风系统,关上新风系统,停止新风系统,停止新风系统,停用新风系统,别净化空气了,不净化空气了,闭掉新风系统,毙了新风系统,闭新风系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,童锁开关,打开童锁开关,开童锁开关,启动童锁开关,开启童锁开关,开童锁开关,开开童锁开关,童锁开关启动,启用童锁开关,童锁开关关,关童锁开关,禁用童锁,关闭童锁开关,关上童锁开关,闭掉童锁开关,童锁开关关闭,毙掉童锁开关,解除童锁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,温度设定,"把新风系统的温度设置为(14,29)度","把新风系统的温度设为(14,29)度","把新风系统的温度调整为(14,29)度","把新风系统的温度调为(14,29)度","新风系统的温度调到(14,29)度",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,模式选择(自动模式、手动模式),新风系统设置成手动模式,新风系统切换到手动模式,新风系统调整成手动模式,新风系统切换成手动模式,新风系统切成手动模式,新风系统调成手动模式,新风系统设置成自动模式,新风系统切换到自动模式,新风系统调整成自动模式,新风系统切换成自动模式,新风系统切成自动模式,新风系统调成自动模式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,紫外线开关,打开紫外线,打开紫外线开关,启动紫外线开关,开开紫外线开关,开紫外线开关,紫外线开关启动,启用紫外线开关,紫外线开关关,关紫外线开关,停止紫外线,关闭紫外线开关,关上紫外线开关,闭掉紫外线开关,紫外线开关关闭,毙掉紫外线开关,不要紫外线了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,电加热开关,打开电加热开关,开电加热开关,启动电加热开关,开启电加热开关,开电加热开关,开开电加热开关,电加热开关启动,启用电加热开关,电加热开关关,关电加热开关,停止电加热,关闭电加热开关,关上电加热开关,闭掉电加热开关,电加热开关关闭,毙掉电加热开关,不要电加热了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,负离子开关,负离子开,开负离子,启动负离子,开启负离子,开负离子,开开负离子,负离子启动,启用负离子,负离子关,关负离子,停止负离子,关闭负离子,关上负离子,闭掉负离子,负离子停止,毙掉负离子,不要负离子了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,排风小风机,打开排风开关,开排风开关,启动排风开关,开启排风开关,开排风开关,开开排风开关,排风开关启动,启用排风开关,排风开关关,关排风开关,停止排风开关,关闭排风开关,关上排风开关,闭掉排风开关,排风开关关闭,毙掉排风开关,不要排风,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,新风风机,新风风机开,开新风风机,启动新风风机,开启新风风机,开新风风机,开开新风风机,新风风机启动,打开新风风机,新风风机关,关新风风机,停止新风,关闭新风风机,关上新风风机,闭掉新风风机,新风风机关闭,毙掉新风风机,不要送新风了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,授时(星期、小时、分钟),授时,时间校准,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,报警信息,新风系统有告警吗,新风系统告警消息,新风系统告警信息,播放新风系统告警,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,报警阈值设置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,周编程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,预约,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,空气盒子,显示当前温度,当前温度,当前温度是多少,现在多少度,现在几度,现下是几度,现下多少度,现在有多少度,现在有几度,这会儿多少度,这会儿几度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示当前湿度,当前湿度,当前湿度是多少,当前湿度多大,现在湿度多大,现在湿度是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示CO2,CO2浓度,CO2浓度是多少,有CO2吗,CO2浓度是多少,CO2多吗,CO2浓度大吗,没CO2吧,CO2含量,CO2含量是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示甲醛,甲醛浓度,甲醛浓度是多少,有甲醛吗,甲醛浓度是多少,甲醛多吗,甲醛浓度大吗,没甲醛吧,甲醛含量是多少,甲醛含量有多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示TVOC,TVOC值,TVOC状态,当前TVOC值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示PM1.0,PM1.0,PM1.0浓度是多少,有PM1.0吗,PM1.0浓度是多少,PM1.0多吗,PM1.0浓度大吗,没PM1.0吧,PM1.0含量,PM1.0含量是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示PM2.5,当前PM2.5,当前PM2.5是多少,当前PM2.5值为多少,现在有雾霾吗,现在雾霾严重吗,空气污染了吗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,显示PM10,PM10,PM10浓度是多少,有PM10吗,PM10浓度是多少,PM10多吗,PM10浓度大吗,没PM10吧,PM10含量,PM10含量是多少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,开关,空气盒子开,打开空气盒子,开开空气盒子,开空气盒子,启动空气盒子,开始空气盒子,净化空气,开启空气盒子,空气盒子开,关闭空气盒子,关空气盒子,关上空气盒子,停止空气盒子,停止空气盒子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,温度报警阈值设置,"温度报警阈值设置为(-∞,+∞)","温度报警阈值设置成(-∞,+∞)","温度报警阈值设置到(-∞,+∞)","温度报警阈值设为(-∞,+∞)","温度报警阈值设成(-∞,+∞)","温度报警阈值设到(-∞,+∞)","温度报警阈值调整为(-∞,+∞)","温度报警阈值调整成(-∞,+∞)","温度报警阈值调整到(-∞,+∞)","温度报警阈值调为(-∞,+∞)","温度报警阈值调成(-∞,+∞)","温度报警阈值调到(-∞,+∞)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,甲醛报警阈值设置,"甲醛报警阈值设置为(0,+∞)","甲醛报警阈值设置成(0,+∞)","甲醛报警阈值设置到(0,+∞)","甲醛报警阈值设为(0,+∞)","甲醛报警阈值设成(0,+∞)","甲醛报警阈值设到(0,+∞)","甲醛报警阈值调整为(0,+∞)","甲醛报警阈值调整成(0,+∞)","甲醛报警阈值调整到(0,+∞)","甲醛报警阈值调为(0,+∞)","甲醛报警阈值调成(0,+∞)","甲醛报警阈值调到(0,+∞)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PM2.5报警阈值设置,"PM2.5报警阈值设置为(0,+∞)","PM2.5报警阈值设置成(0,+∞)","PM2.5报警阈值设置到(0,+∞)","PM2.5报警阈值设为(0,+∞)","PM2.5报警阈值设成(0,+∞)","PM2.5报警阈值设到(0,+∞)","PM2.5报警阈值调整为(0,+∞)","PM2.5报警阈值调整成(0,+∞)","PM2.5报警阈值调整到(0,+∞)","PM2.5报警阈值调为(0,+∞)","PM2.5报警阈值调成(0,+∞)","PM2.5报警阈值调到0,+∞)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TVOC报警阈值设置,"TVOC报警阈值设置为(0,+∞)","TVOC报警阈值设置成(0,+∞)","TVOC报警阈值设置到(0,+∞)","TVOC报警阈值设为(0,+∞)","TVOC报警阈值设成(0,+∞)","TVOC报警阈值设到(0,+∞)","TVOC报警阈值调整为(0,+∞)","TVOC报警阈值调整成(0,+∞)","TVOC报警阈值调整到(0,+∞)","TVOC报警阈值调为(0,+∞)","TVOC报警阈值调成(0,+∞)","TVOC报警阈值调到(0,+∞)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CO2报警阈值设置,"CO2报警阈值设置为(0,+∞)","CO2报警阈值设置成(0,+∞)","CO2报警阈值设置到(0,+∞)","CO2报警阈值设为(0,+∞)","CO2报警阈值设成(0,+∞)","CO2报警阈值设到(0,+∞)","CO2报警阈值调整为(0,+∞)","CO2报警阈值调整成(0,+∞)","CO2报警阈值调整到(0,+∞)","CO2报警阈值调为(0,+∞)","CO2报警阈值调成(0,+∞)","CO2报警阈值调到(0,+∞)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
